Classof,Measure Names,Organization Code,Organization Name,organizationid,Suppression Label,Measure Values,Cohort Numberof Students
Class of 2018,Continued,1594,Panorama School,102882, ,0.166666667,24
Class of 2018,Dropped Out,1594,Panorama School,102882, ,0.375,24
Class of 2018,Graduated,1596,Seattle World School,100989, ,0.176470588,85
Class of 2018,Continued,1596,Seattle World School,100989, ,0.364705882,85
Class of 2018,Dropped Out,1596,Seattle World School,100989, ,0.458823529,85
Class of 2018,Graduated,1613,Westside High School,100455, ,0.527272727,110
Class of 2018,Continued,1613,Westside High School,100455, ,0.218181818,110
Class of 2018,Dropped Out,1613,Westside High School,100455, ,0.254545455,110
Class of 2018,Graduated,1627,Yelm Extension School,102913, ,0.32,50
Class of 2018,Continued,1627,Yelm Extension School,102913, ,0.26,50
Class of 2018,Dropped Out,1627,Yelm Extension School,102913, ,0.42,50
Class of 2018,Graduated,1628,Dishman Hills High School,102840, ,0.529411765,119
Class of 2018,Continued,1628,Dishman Hills High School,102840, ,0.193277311,119
Class of 2018,Dropped Out,1628,Dishman Hills High School,102840, ,0.277310924,119
Class of 2018,Graduated,1629,East Grays Harbor High School,100892, ,0.9,10
Class of 2018,Continued,1629,East Grays Harbor High School,100892, ,0,10
Class of 2018,Dropped Out,1629,East Grays Harbor High School,100892, ,0.1,10
Class of 2018,Graduated,1635,Interagency Programs,100996, ,0.179487179,156
Class of 2018,Continued,1635,Interagency Programs,100996, ,0.551282051,156
Class of 2018,Dropped Out,1635,Interagency Programs,100996, ,0.269230769,156
Class of 2018,Graduated,1640,Puyallup Online Academy/POA,102035, ,0.376470588,85
Class of 2018,Continued,1640,Puyallup Online Academy/POA,102035, ,0.211764706,85
Class of 2018,Dropped Out,1640,Puyallup Online Academy/POA,102035, ,0.411764706,85
Class of 2018,Graduated,1657,Heritage School,102574, ,0.277777778,36
Class of 2018,Continued,1657,Heritage School,102574, ,0.333333333,36
Class of 2018,Dropped Out,1657,Heritage School,102574, ,0.388888889,36
Class of 2018,Graduated,1682,South Whidbey Academy,100936, ,0.888888889,27
Class of 2018,Continued,1682,South Whidbey Academy,100936, ,0.037037037,27
Class of 2018,Dropped Out,1682,South Whidbey Academy,100936, ,0.074074074,27
Class of 2018,Graduated,1707,Lincoln Hill High School,102661, ,0.586956522,46
Class of 2018,Continued,1707,Lincoln Hill High School,102661, ,0.195652174,46
Class of 2018,Dropped Out,1707,Lincoln Hill High School,102661, ,0.217391304,46
Class of 2018,Graduated,1713,Secondary Options,102945, ,0.32,50
Class of 2018,Continued,1713,Secondary Options,102945, ,0.46,50
Class of 2018,Dropped Out,1713,Secondary Options,102945, ,0.22,50
Class of 2018,Graduated,1735,H.e.a.r.t. High School,102991, ,0.272727273,22
Class of 2018,Continued,1735,H.e.a.r.t. High School,102991, ,0.227272727,22
Class of 2018,Dropped Out,1735,H.e.a.r.t. High School,102991, ,0.5,22
Class of 2018,Graduated,1737,Renaissance Alternative High School,101663, ,0.375,64
Class of 2018,Continued,1737,Renaissance Alternative High School,101663, ,0.203125,64
Class of 2018,Dropped Out,1737,Renaissance Alternative High School,101663, ,0.421875,64
Class of 2018,Graduated,1758,Homeconnection,100918, ,0.833333333,18
Class of 2018,Continued,1758,Homeconnection,100918, ,0.166666667,18
Class of 2018,Dropped Out,1758,Homeconnection,100918, ,0,18
Class of 2018,Graduated,1759,Internet Academy,101183, ,0.492063492,63
Class of 2018,Continued,1759,Internet Academy,101183, ,0.126984127,63
Class of 2018,Dropped Out,1759,Internet Academy,101183, ,0.380952381,63
Class of 2018,Graduated,1768,Avanti High School,102960, ,0.666666667,39
Class of 2018,Continued,1768,Avanti High School,102960, ,0.307692308,39
Class of 2018,Dropped Out,1768,Avanti High School,102960, ,0.025641026,39
Class of 2018,Graduated,1804,Futures School,101520, ,0.866666667,15
Class of 2018,Continued,1804,Futures School,101520, ,0.133333333,15
Class of 2018,Dropped Out,1804,Futures School,101520, ,0,15
Class of 2018,Graduated,1806,Leaders In Learning,102602, ,0.515151515,33
Class of 2018,Continued,1806,Leaders In Learning,102602, ,0.272727273,33
Class of 2018,Dropped Out,1806,Leaders In Learning,102602, ,0.212121212,33
Class of 2018,Graduated,1814,Northshore Networks,101623, ,0.870967742,31
Class of 2018,Continued,1814,Northshore Networks,101623, ,0.096774194,31
Class of 2018,Dropped Out,1814,Northshore Networks,101623, ,0.032258065,31
Class of 2018,Graduated,1829,Winolequa Learning Academy,101837, ,0.578947368,19
Class of 2018,Continued,1829,Winolequa Learning Academy,101837, ,0.263157895,19
Class of 2018,Dropped Out,1829,Winolequa Learning Academy,101837, ,0.157894737,19
Class of 2018,Graduated,1835,Sentinel Tech Alt School,100793, ,0.266666667,15
Class of 2018,Continued,1835,Sentinel Tech Alt School,100793, ,0.133333333,15
Class of 2018,Dropped Out,1835,Sentinel Tech Alt School,100793, ,0.6,15
Class of 2018,Graduated,1842,Spokane Valley Transition School,102844, ,0.486486486,74
Class of 2018,Continued,1842,Spokane Valley Transition School,102844, ,0.283783784,74
Class of 2018,Dropped Out,1842,Spokane Valley Transition School,102844, ,0.229729730,74
Class of 2018,Graduated,1852,Deer Park Home Link Program,102855, ,0.724137931,29
Class of 2018,Continued,1852,Deer Park Home Link Program,102855, ,0.103448276,29
Class of 2018,Dropped Out,1852,Deer Park Home Link Program,102855, ,0.172413793,29
Class of 2018,Graduated,1856,The Center School,101013, ,0.855263158,76
Class of 2018,Continued,1856,The Center School,101013, ,0.052631579,76
Class of 2018,Dropped Out,1856,The Center School,101013, ,0.092105263,76
Class of 2018,Graduated,1858,Mead Education Partnership Prog,102769, ,0.882352941,34
Class of 2018,Continued,1858,Mead Education Partnership Prog,102769, ,0.088235294,34
Class of 2018,Dropped Out,1858,Mead Education Partnership Prog,102769, ,0.029411765,34
Class of 2018,Graduated,1875,Homelink River,100633, ,0.773809524,84
Class of 2018,Continued,1875,Homelink River,100633, ,0,84
Class of 2018,Dropped Out,1875,Homelink River,100633, ,0.226190476,84
Class of 2018,Graduated,1884,Legacy High School,100358, ,0.205298013,151
Class of 2018,Continued,1884,Legacy High School,100358, ,0.125827815,151
Class of 2018,Dropped Out,1884,Legacy High School,100358, ,0.668874172,151
Class of 2018,Graduated,1900,Bridgeport Aurora High School,103844, ,0.333333333,12
Class of 2018,Continued,1900,Bridgeport Aurora High School,103844, ,0.166666667,12
Class of 2018,Dropped Out,1900,Bridgeport Aurora High School,103844, ,0.5,12
Class of 2018,Graduated,1919,Independent Scholar,103818, ,0.636363636,11
Class of 2018,Continued,1919,Independent Scholar,103818, ,0.181818182,11
Class of 2018,Dropped Out,1919,Independent Scholar,103818, ,0.181818182,11
Class of 2018,Graduated,1927,Marysville Mountain View Arts and Technology High School,103839, ,0.555555556,54
Class of 2018,Continued,1927,Marysville Mountain View Arts and Technology High School,103839, ,0.203703704,54
Class of 2018,Dropped Out,1927,Marysville Mountain View Arts and Technology High School,103839, ,0.240740741,54
Class of 2018,Graduated,1928,Burlington-Edison Alternative School,103837, ,0.454545455,22
Class of 2018,Continued,1928,Burlington-Edison Alternative School,103837, ,0.363636364,22
Class of 2018,Dropped Out,1928,Burlington-Edison Alternative School,103837, ,0.181818182,22
Class of 2018,Graduated,1941,Mid-Columbia Parent Partnership,103866, ,0.8,15
Class of 2018,Continued,1941,Mid-Columbia Parent Partnership,103866, ,0.133333333,15
Class of 2018,Dropped Out,1941,Mid-Columbia Parent Partnership,103866, ,0.066666667,15
Class of 2018,Graduated,1972,New Start,103953, ,0.354166667,48
Class of 2018,Continued,1972,New Start,103953, ,0.4375,48
Class of 2018,Dropped Out,1972,New Start,103953, ,0.208333333,48
Class of 2018,Graduated,1980,Okanogan Alternative High School,103967, ,0.25,12
Class of 2018,Continued,1980,Okanogan Alternative High School,103967, ,0.25,12
Class of 2018,Dropped Out,1980,Okanogan Alternative High School,103967, ,0.5,12
Class of 2018,Graduated,1986,Muckleshoot Tribal School,103974, ,0.571428571,42
Class of 2018,Continued,1986,Muckleshoot Tribal School,103974, ,0.214285714,42
Class of 2018,Dropped Out,1986,Muckleshoot Tribal School,103974, ,0.214285714,42
Class of 2018,Graduated,1987,Swiftwater Alternative High School,103977, ,0.285714286,14
Class of 2018,Continued,1987,Swiftwater Alternative High School,103977, ,0.357142857,14
Class of 2018,Dropped Out,1987,Swiftwater Alternative High School,103977, ,0.357142857,14
Class of 2018,Graduated,2006,Curlew Elem & High School,100745, ,0.303030303,33
Class of 2018,Continued,2006,Curlew Elem & High School,100745, ,0.363636364,33
Class of 2018,Dropped Out,2006,Curlew Elem & High School,100745, ,0.333333333,33
Class of 2018,Graduated,2027,Green Hill Academic School,101855, ,0.064516129,93
Class of 2018,Continued,2027,Green Hill Academic School,101855, ,0.494623656,93
Class of 2018,Dropped Out,2027,Green Hill Academic School,101855, ,0.440860215,93
Class of 2018,Graduated,2031,Omak High School,101941, ,0.869047619,84
Class of 2018,Continued,2031,Omak High School,101941, ,0.083333333,84
Class of 2018,Dropped Out,2031,Omak High School,101941, ,0.047619048,84
Class of 2018,Graduated,2084,Stadium,102101, ,0.938837920,327
Class of 2018,Continued,2084,Stadium,102101, ,0.006116208,327
Class of 2018,Dropped Out,2084,Stadium,102101, ,0.055045872,327
Class of 2018,Graduated,2106,North Central High School,102690, ,0.929368030,269
Class of 2018,Continued,2106,North Central High School,102690, ,0.003717472,269
Class of 2018,Dropped Out,2106,North Central High School,102690, ,0.066914498,269
Class of 2018,Graduated,2116,Davis High School,103175, ,0.887096774,434
Class of 2018,Continued,2116,Davis High School,103175, ,0.050691244,434
Class of 2018,Dropped Out,2116,Davis High School,103175, ,0.062211982,434
Class of 2018,Graduated,2125,Puyallup High School,102038, ,0.906735751,579
Class of 2018,Continued,2125,Puyallup High School,102038, ,0.036269430,579
Class of 2018,Dropped Out,2125,Puyallup High School,102038, ,0.056994819,579
Class of 2018,Graduated,2126,Everett High School,102437, ,0.962962963,324
Class of 2018,Continued,2126,Everett High School,102437, ,0.018518519,324
Class of 2018,Dropped Out,2126,Everett High School,102437, ,0.018518519,324
Class of 2018,Graduated,2132,Ritzville High School,100340, ,0.789473684,38
Class of 2018,Continued,2132,Ritzville High School,100340, ,0.078947368,38
Class of 2018,Dropped Out,2132,Ritzville High School,100340, ,0.131578947,38
Class of 2018,Graduated,2134,Wenatchee High School,100459, ,0.913131313,495
Class of 2018,Continued,2134,Wenatchee High School,100459, ,0.032323232,495
Class of 2018,Dropped Out,2134,Wenatchee High School,100459, ,0.054545455,495
Class of 2018,Graduated,2137,Elma High School,100893, ,0.897727273,88
Class of 2018,Continued,2137,Elma High School,100893, ,0.068181818,88
Class of 2018,Dropped Out,2137,Elma High School,100893, ,0.034090909,88
Class of 2018,Graduated,2150,Sedro Woolley Senior High School,102377, ,0.924901186,253
Class of 2018,Continued,2150,Sedro Woolley Senior High School,102377, ,0.047430830,253
Class of 2018,Dropped Out,2150,Sedro Woolley Senior High School,102377, ,0.027667984,253
Class of 2018,Graduated,2166,Centralia High School,101868, ,0.851694915,236
Class of 2018,Continued,2166,Centralia High School,101868, ,0.021186441,236
Class of 2018,Dropped Out,2166,Centralia High School,101868, ,0.127118644,236
Class of 2018,Graduated,2172,Lewis & Clark High School,102700, ,0.889867841,454
Class of 2018,Continued,2172,Lewis & Clark High School,102700, ,0.039647577,454
Class of 2018,Dropped Out,2172,Lewis & Clark High School,102700, ,0.070484581,454
Class of 2018,Graduated,2179,Fort Vancouver High School,100521, ,0.793388430,363
Class of 2018,Continued,2179,Fort Vancouver High School,100521, ,0.063360882,363
Class of 2018,Dropped Out,2179,Fort Vancouver High School,100521, ,0.143250689,363
Class of 2018,Graduated,2180,Montesano Jr-Sr High,100888, ,0.902654867,113
Class of 2018,Continued,2180,Montesano Jr-Sr High,100888, ,0.070796460,113
Class of 2018,Dropped Out,2180,Montesano Jr-Sr High,100888, ,0.026548673,113
Class of 2018,Graduated,2182,Franklin High School,101062, ,0.809941520,342
Class of 2018,Continued,2182,Franklin High School,101062, ,0.093567251,342
Class of 2018,Dropped Out,2182,Franklin High School,101062, ,0.096491228,342
Class of 2018,Graduated,2206,Eatonville High School,102315, ,0.959731544,149
Class of 2018,Continued,2206,Eatonville High School,102315, ,0,149
Class of 2018,Dropped Out,2206,Eatonville High School,102315, ,0.040268456,149
Class of 2018,Graduated,2215,Lincoln,102112, ,0.899705015,339
Class of 2018,Continued,2215,Lincoln,102112, ,0.005899705,339
Class of 2018,Dropped Out,2215,Lincoln,102112, ,0.094395280,339
Class of 2018,Graduated,2220,Ballard High School,101071, ,0.902552204,431
Class of 2018,Continued,2220,Ballard High School,101071, ,0.034802784,431
Class of 2018,Dropped Out,2220,Ballard High School,101071, ,0.062645012,431
Class of 2018,Graduated,2234,West Seattle High School,101072, ,0.900826446,242
Class of 2018,Continued,2234,West Seattle High School,101072, ,0.045454545,242
Class of 2018,Dropped Out,2234,West Seattle High School,101072, ,0.053719008,242
Class of 2018,Graduated,2240,Zillah High School,103267, ,0.848214286,112
Class of 2018,Continued,2240,Zillah High School,103267, ,0.026785714,112
Class of 2018,Dropped Out,2240,Zillah High School,103267, ,0.125,112
Class of 2018,Graduated,2241,Pomeroy Jr Sr High School,100790, ,0.869565217,23
Class of 2018,Continued,2241,Pomeroy Jr Sr High School,100790, ,0,23
Class of 2018,Dropped Out,2241,Pomeroy Jr Sr High School,100790, ,0.130434783,23
Class of 2018,Graduated,2246,Okanogan High School,101950, ,0.936507937,63
Class of 2018,Continued,2246,Okanogan High School,101950, ,0.031746032,63
Class of 2018,Dropped Out,2246,Okanogan High School,101950, ,0.031746032,63
Class of 2018,Graduated,2266,Kelso High School,100703, ,0.894459103,379
Class of 2018,Continued,2266,Kelso High School,100703, ,0.013192612,379
Class of 2018,Dropped Out,2266,Kelso High School,100703, ,0.092348285,379
Class of 2018,Graduated,2272,South Kitsap High School,101743, ,0.860971524,597
Class of 2018,Continued,2272,South Kitsap High School,101743, ,0.046901173,597
Class of 2018,Dropped Out,2272,South Kitsap High School,101743, ,0.092127303,597
Class of 2018,Graduated,2276,La Conner High School,102399, ,0.744680851,47
Class of 2018,Continued,2276,La Conner High School,102399, ,0.106382979,47
Class of 2018,Dropped Out,2276,La Conner High School,102399, ,0.148936170,47
Class of 2018,Graduated,2281,Castle Rock High School,100687, ,0.798165138,109
Class of 2018,Continued,2281,Castle Rock High School,100687, ,0.137614679,109
Class of 2018,Dropped Out,2281,Castle Rock High School,100687, ,0.064220183,109
Class of 2018,Graduated,2283,Oakville High School,100913, ,0.842105263,19
Class of 2018,Continued,2283,Oakville High School,100913, ,0,19
Class of 2018,Dropped Out,2283,Oakville High School,100913, ,0.157894737,19
Class of 2018,Graduated,2285,Roosevelt High School,101079, ,0.915294118,425
Class of 2018,Continued,2285,Roosevelt High School,101079, ,0.04,425
Class of 2018,Dropped Out,2285,Roosevelt High School,101079, ,0.044705882,425
Class of 2018,Graduated,2295,Mount Vernon High School,102405, ,0.768374165,449
Class of 2018,Continued,2295,Mount Vernon High School,102405, ,0.051224944,449
Class of 2018,Dropped Out,2295,Mount Vernon High School,102405, ,0.180400891,449
Class of 2018,Graduated,2299,Charles Francis Adams High School,100345, ,0.918238994,159
Class of 2018,Continued,2299,Charles Francis Adams High School,100345, ,0.018867925,159
Class of 2018,Dropped Out,2299,Charles Francis Adams High School,100345, ,0.062893082,159
Class of 2018,Graduated,2302,Dayton High School,100656, ,0.740740741,27
Class of 2018,Continued,2302,Dayton High School,100656, ,0.074074074,27
Class of 2018,Dropped Out,2302,Dayton High School,100656, ,0.185185185,27
Class of 2018,Graduated,2306,Garfield High School,101080, ,0.853391685,457
Class of 2018,Continued,2306,Garfield High School,101080, ,0.052516411,457
Class of 2018,Dropped Out,2306,Garfield High School,101080, ,0.094091904,457
Class of 2018,Graduated,2325,Highline High School,101256, ,0.813620072,279
Class of 2018,Continued,2325,Highline High School,101256, ,0.089605735,279
Class of 2018,Dropped Out,2325,Highline High School,101256, ,0.096774194,279
Class of 2018,Graduated,2329,Cle Elum Roslyn High School,101785, ,0.939393939,66
Class of 2018,Continued,2329,Cle Elum Roslyn High School,101785, ,0,66
Class of 2018,Dropped Out,2329,Cle Elum Roslyn High School,101785, ,0.060606061,66
Class of 2018,Graduated,2330,Columbia High School,101811, ,0.943925234,107
Class of 2018,Continued,2330,Columbia High School,101811, ,0.009345794,107
Class of 2018,Dropped Out,2330,Columbia High School,101811, ,0.046728972,107
Class of 2018,Graduated,2331,Onalaska High School,101848, ,0.910714286,56
Class of 2018,Continued,2331,Onalaska High School,101848, ,0.035714286,56
Class of 2018,Dropped Out,2331,Onalaska High School,101848, ,0.053571429,56
Class of 2018,Graduated,2343,Mount Baker Senior High,103117, ,0.626984127,126
Class of 2018,Continued,2343,Mount Baker Senior High,103117, ,0.142857143,126
Class of 2018,Dropped Out,2343,Mount Baker Senior High,103117, ,0.230158730,126
Class of 2018,Graduated,2344,East Valley High School,103208, ,0.835555556,225
Class of 2018,Continued,2344,East Valley High School,103208, ,0.053333333,225
Class of 2018,Dropped Out,2344,East Valley High School,103208, ,0.111111111,225
Class of 2018,Graduated,2362,Burlington Edison High School,102366, ,0.868312757,243
Class of 2018,Continued,2362,Burlington Edison High School,102366, ,0.037037037,243
Class of 2018,Dropped Out,2362,Burlington Edison High School,102366, ,0.094650206,243
Class of 2018,Graduated,2367,River View High School,100393, ,0.818181818,88
Class of 2018,Continued,2367,River View High School,100393, ,0.102272727,88
Class of 2018,Dropped Out,2367,River View High School,100393, ,0.079545455,88
Class of 2018,Graduated,2388,Selah High School,103215, ,0.866141732,254
Class of 2018,Continued,2388,Selah High School,103215, ,0.031496063,254
Class of 2018,Dropped Out,2388,Selah High School,103215, ,0.102362205,254
Class of 2018,Graduated,2390,Ridgefield High School,100650, ,0.895027624,181
Class of 2018,Continued,2390,Ridgefield High School,100650, ,0.055248619,181
Class of 2018,Dropped Out,2390,Ridgefield High School,100650, ,0.049723757,181
Class of 2018,Graduated,2392,Cleveland High School STEM,101089, ,0.958115183,191
Class of 2018,Continued,2392,Cleveland High School STEM,101089, ,0.036649215,191
Class of 2018,Dropped Out,2392,Cleveland High School STEM,101089, ,0.005235602,191
Class of 2018,Graduated,2395,Bainbridge High School,101690, ,0.950146628,341
Class of 2018,Continued,2395,Bainbridge High School,101690, ,0.035190616,341
Class of 2018,Dropped Out,2395,Bainbridge High School,101690, ,0.014662757,341
Class of 2018,Graduated,2402,Mead Senior High School,102770, ,0.916067146,417
Class of 2018,Continued,2402,Mead Senior High School,102770, ,0.057553957,417
Class of 2018,Dropped Out,2402,Mead Senior High School,102770, ,0.026378897,417
Class of 2018,Graduated,2404,Jenkins Junior/Senior High,102872, ,0.907692308,65
Class of 2018,Continued,2404,Jenkins Junior/Senior High,102872, ,0.061538462,65
Class of 2018,Dropped Out,2404,Jenkins Junior/Senior High,102872, ,0.030769231,65
Class of 2018,Graduated,2407,Alternative Education Program,103015, ,0.159090909,44
Class of 2018,Continued,2407,Alternative Education Program,103015, ,0.477272727,44
Class of 2018,Dropped Out,2407,Alternative Education Program,103015, ,0.363636364,44
Class of 2018,Graduated,2415,Battle Ground High School,100634, ,0.868200837,478
Class of 2018,Continued,2415,Battle Ground High School,100634, ,0.018828452,478
Class of 2018,Dropped Out,2415,Battle Ground High School,100634, ,0.112970711,478
Class of 2018,Graduated,2416,R A Long High School,100667, ,0.962765957,188
Class of 2018,Continued,2416,R A Long High School,100667, ,0.021276596,188
Class of 2018,Dropped Out,2416,R A Long High School,100667, ,0.015957447,188
Class of 2018,Graduated,2417,Federal Way High School,101186, ,0.866161616,396
Class of 2018,Continued,2417,Federal Way High School,101186, ,0.017676768,396
Class of 2018,Dropped Out,2417,Federal Way High School,101186, ,0.116161616,396
Class of 2018,Graduated,2419,Vashon Island High School,101309, ,0.927007299,137
Class of 2018,Continued,2419,Vashon Island High School,101309, ,0.021897810,137
Class of 2018,Dropped Out,2419,Vashon Island High School,101309, ,0.051094891,137
Class of 2018,Graduated,2425,Clover Park High School,102218, ,0.841698842,259
Class of 2018,Continued,2425,Clover Park High School,102218, ,0.057915058,259
Class of 2018,Dropped Out,2425,Clover Park High School,102218, ,0.100386100,259
Class of 2018,Graduated,2428,Snohomish High School,102623, ,0.851174935,383
Class of 2018,Continued,2428,Snohomish High School,102623, ,0.088772846,383
Class of 2018,Dropped Out,2428,Snohomish High School,102623, ,0.060052219,383
Class of 2018,Graduated,2434,Asotin Jr Sr High,100353, ,0.92,50
Class of 2018,Continued,2434,Asotin Jr Sr High,100353, ,0.02,50
Class of 2018,Dropped Out,2434,Asotin Jr Sr High,100353, ,0.06,50
Class of 2018,Graduated,2459,Nooksack Valley High School,103110, ,0.746031746,126
Class of 2018,Continued,2459,Nooksack Valley High School,103110, ,0.063492063,126
Class of 2018,Dropped Out,2459,Nooksack Valley High School,103110, ,0.190476190,126
Class of 2018,Graduated,2467,Anacortes High School,102391, ,0.968354430,158
Class of 2018,Continued,2467,Anacortes High School,102391, ,0.018987342,158
Class of 2018,Dropped Out,2467,Anacortes High School,102391, ,0.012658228,158
Class of 2018,Graduated,2468,Rainier Senior High School,102986, ,0.9,60
Class of 2018,Continued,2468,Rainier Senior High School,102986, ,0.016666667,60
Class of 2018,Dropped Out,2468,Rainier Senior High School,102986, ,0.083333333,60
Class of 2018,Graduated,2474,Quilcene High And Elementary,100949, ,0.772727273,22
Class of 2018,Continued,2474,Quilcene High And Elementary,100949, ,0.090909091,22
Class of 2018,Dropped Out,2474,Quilcene High And Elementary,100949, ,0.136363636,22
Class of 2018,Graduated,2475,Renton Senior High School,101326, ,0.826086957,345
Class of 2018,Continued,2475,Renton Senior High School,101326, ,0.078260870,345
Class of 2018,Dropped Out,2475,Renton Senior High School,101326, ,0.095652174,345
Class of 2018,Graduated,2479,Rogers High School,102709, ,0.875420875,297
Class of 2018,Continued,2479,Rogers High School,102709, ,0.030303030,297
Class of 2018,Dropped Out,2479,Rogers High School,102709, ,0.094276094,297
Class of 2018,Graduated,2488,Ferndale High School,103078, ,0.853785901,383
Class of 2018,Continued,2488,Ferndale High School,103078, ,0.044386423,383
Class of 2018,Dropped Out,2488,Ferndale High School,103078, ,0.101827676,383
Class of 2018,Graduated,2499,Pullman High School,103134, ,0.935643564,202
Class of 2018,Continued,2499,Pullman High School,103134, ,0.019801980,202
Class of 2018,Dropped Out,2499,Pullman High School,103134, ,0.044554455,202
Class of 2018,Graduated,2518,Newport High School,102010, ,0.903225806,93
Class of 2018,Continued,2518,Newport High School,102010, ,0.032258065,93
Class of 2018,Dropped Out,2518,Newport High School,102010, ,0.064516129,93
Class of 2018,Graduated,2523,Arlington High School,102563, ,0.95,340
Class of 2018,Continued,2523,Arlington High School,102563, ,0.029411765,340
Class of 2018,Dropped Out,2523,Arlington High School,102563, ,0.020588235,340
Class of 2018,Graduated,2532,White Swan High School,103299, ,0.730158730,63
Class of 2018,Continued,2532,White Swan High School,103299, ,0.015873016,63
Class of 2018,Dropped Out,2532,White Swan High School,103299, ,0.253968254,63
Class of 2018,Graduated,2550,Wellpinit High School,102877, ,0.875,16
Class of 2018,Continued,2550,Wellpinit High School,102877, ,0.125,16
Class of 2018,Dropped Out,2550,Wellpinit High School,102877, ,0,16
Class of 2018,Graduated,2553,Bellingham High School,103061, ,0.928853755,253
Class of 2018,Continued,2553,Bellingham High School,103061, ,0.027667984,253
Class of 2018,Dropped Out,2553,Bellingham High School,103061, ,0.043478261,253
Class of 2018,Graduated,2554,Meridian High School,103102, ,0.925,120
Class of 2018,Continued,2554,Meridian High School,103102, ,0.033333333,120
Class of 2018,Dropped Out,2554,Meridian High School,103102, ,0.041666667,120
Class of 2018,Graduated,2555,Grandview High School,103231, ,0.874439462,223
Class of 2018,Continued,2555,Grandview High School,103231, ,0.035874439,223
Class of 2018,Dropped Out,2555,Grandview High School,103231, ,0.089686099,223
Class of 2018,Graduated,2580,Granite Falls High School,102655, ,0.894308943,123
Class of 2018,Continued,2580,Granite Falls High School,102655, ,0.073170732,123
Class of 2018,Dropped Out,2580,Granite Falls High School,102655, ,0.032520325,123
Class of 2018,Graduated,2581,Stanwood High School,102663, ,0.880503145,318
Class of 2018,Continued,2581,Stanwood High School,102663, ,0.044025157,318
Class of 2018,Dropped Out,2581,Stanwood High School,102663, ,0.075471698,318
Class of 2018,Graduated,2591,Naches Valley High School,103169, ,0.919642857,112
Class of 2018,Continued,2591,Naches Valley High School,103169, ,0.053571429,112
Class of 2018,Dropped Out,2591,Naches Valley High School,103169, ,0.026785714,112
Class of 2018,Graduated,2603,Inchelium High School,100750, ,0.428571429,14
Class of 2018,Continued,2603,Inchelium High School,100750, ,0.285714286,14
Class of 2018,Dropped Out,2603,Inchelium High School,100750, ,0.285714286,14
Class of 2018,Graduated,2615,Central Kitsap High School,101717, ,0.924418605,344
Class of 2018,Continued,2615,Central Kitsap High School,101717, ,0.034883721,344
Class of 2018,Dropped Out,2615,Central Kitsap High School,101717, ,0.040697674,344
Class of 2018,Graduated,2616,Toledo High School,101844, ,0.881355932,59
Class of 2018,Continued,2616,Toledo High School,101844, ,0.050847458,59
Class of 2018,Dropped Out,2616,Toledo High School,101844, ,0.067796610,59
